                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66066,                 5.0299,                 3.7807,                0.00039,                 0.0175,                0.00026,                  7e-05,                0.57825,                  4.284,                 3.7279,             0.00036742,             0.00036742,             0.00036742
                      2,                 1.2434,                 3.2482,                 2.4877,                0.52004,                0.12737,                0.06275,                 0.0155,                 1.4514,                 2.4468,                 2.0858,              0.0007341,              0.0007341,              0.0007341
                      3,                 1.7614,                 2.4448,                 1.9288,                 0.5748,                0.18067,                 0.1242,                0.03852,                 1.9391,                 2.2557,                 1.8168,              0.0010971,              0.0010971,              0.0010971
                      4,                 2.1467,                 2.0434,                 1.6915,                0.59591,                0.33696,                0.21393,                0.07834,                 2.3747,                 2.5708,                 1.6001,              0.0010945,              0.0010945,              0.0010945
                      5,                 2.3609,                 1.7908,                  1.607,                0.67185,                 0.2804,                0.27894,                0.11798,                 2.6514,                 1.7783,                 1.4917,              0.0010945,              0.0010945,              0.0010945
                      6,                 2.5326,                  1.648,                 1.5202,                0.73258,                0.27088,                0.28945,                0.12105,                 2.6607,                 1.5337,                 1.4934,               0.001089,               0.001089,               0.001089
                      7,                 2.6287,                 1.5694,                 1.4932,                0.75473,                0.32746,                0.34062,                0.15145,                 2.8282,                 1.4373,                 1.4075,              0.0010835,              0.0010835,              0.0010835
                      8,                 2.7812,                 1.4454,                 1.4222,                0.76574,                0.34457,                0.37463,                 0.1542,                 2.7187,                 1.3727,                 1.4211,               0.001078,               0.001078,               0.001078
                      9,                  2.856,                 1.3704,                 1.4032,                0.76344,                0.30776,                0.32484,                0.14593,                 2.8337,                 1.4074,                 1.3834,              0.0010725,              0.0010725,              0.0010725
                     10,                 2.8463,                 1.3785,                 1.3831,                 0.7537,                0.32906,                0.35344,                0.15249,                 2.8227,                 1.4633,                 1.3515,               0.001067,               0.001067,               0.001067
